"Source:","C:\Users\ppost\Documents\GameBiz\GameBiz\GameBiz.kicad_sch"
"Date:","11/16/2022 2:56:36 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","PARTREV","STANDARD"
"","","AE1","Antenna_Loop","Device:Antenna_Loop","","~","","","","",""
"","","BT1","1.2V","Device:Battery_Cell","","~","","","","",""
"","","BT2","1.2V","Device:Battery_Cell","","~","","","","",""
"","","C1","0.1uF","Device:C","","~","","","","",""
"","","C2","0.1uF","Device:C","","~","","","","",""
"","","C3","0.1uF","Device:C","","~","","","","",""
"","","C4","0.1uF","Device:C","","~","","","","",""
"","","C5","0.1uF","Device:C","","~","","","","",""
"","","C6","0.1uF","Device:C","","~","","","","",""
"","","C7","0.1uF","Device:C","","~","","","","",""
"","","C8","0.1uF","Device:C","","~","","","","",""
"","","C9","0.1uF","Device:C","","~","","","","",""
"","","C10","0.1uF","Device:C","","~","","","","",""
"","","C11","0.1uF","Device:C","","~","","","","",""
"","","C12","1uF","Device:C","","~","","","","",""
"","","C13","1uF","Device:C","","~","","","","",""
"","","C14","10uF","Device:C","","~","","","","",""
"","","C15","33uF","Device:C","","~","","","","",""
"","","C16","22uF","Device:C","","~","","","","",""
"","","C17","10nF","Device:C","","~","","","","",""
"","","C18","1nF","Device:C","","~","","","","",""
"","","C19","1uF","Device:C","","~","","","","",""
"","","C20","1uF","Device:C","","~","","","","",""
"","","C21","2.2nF","Device:C","","~","","","","",""
"","","C22","10uF","Device:C","","~","","","","",""
"","","C23","4.7pF","Device:C","","~","","","","",""
"","","C24","1.5pF","Device:C","","~","","","","",""
"","","C25","1pF","Device:C","","~","","","","",""
"","","C26","10uF","Device:C","","~","","","","",""
"","","C27","22pF","Device:C","","~","","","","",""
"","","C28","22pF","Device:C","","~","","","","",""
"","","D1","D","Device:D","","~","","","","",""
"","","D2","D","Device:D","","~","","","","",""
"","","D3","LED","Device:LED","","~","","","","",""
"","","J1","USB4155-03-C_REVA","USB4155-03-C_REVA:USB4155-03-C_REVA","GCT_USB4155-03-C_REVA","","GCT","2.9 mm","","A","Manufacturer Recommendations"
"","","L1","2.7nH","Device:L","","~","","","","",""
"","","L2","3.9nH","Device:L","","~","","","","",""
"","","L3","8.2nH","Device:L","","~","","","","",""
"","","L4","3.3uH","Device:L","","~","","","","",""
"","","M1","C0720B001F","C0720B001F:C0720B001F","XDCR_C0720B001F","","","","Jinlong Machinery","",""
"","","Q1","PMCXB900UEZ","PMCXB900UEZ:PMCXB900UEZ","SOT1216_PMCXB_NEX","","","","","",""
"","","R1","5.1K","Device:R","","~","","","","",""
"","","R2","5.1K","Device:R","","~","","","","",""
"","","R3","5.1K","Device:R","","~","","","","",""
"","","R4","5.1K","Device:R","","~","","","","",""
"","","R5","27","Device:R","","~","","","","",""
"","","R6","27","Device:R","","~","","","","",""
"","","R7","3K","Device:R","","~","","","","",""
"","","R8","22K","Device:R","","~","","","","",""
"","","R9","90","Device:R","","~","","","","",""
"","","R10","27K","Device:R","","~","","","","",""
"","","R11","36K","Device:R","","~","","","","",""
"","","R12","1M","Device:R","","~","","","","",""
"","","S1","RST","Eclectronics:SW","","","","","","",""
"","","S2","BOOT","Eclectronics:SW","","","","","","",""
"","","SW1","CUS-12TB","ul_cus-12tb:CUS-12TB","CUS-12TB_NDC","","","","","",""
"","","TH1","Thermistor","Device:Thermistor","","~","","","","",""
"","","U1","W25Q128JV","Eclectronics:W25Q128JV","","","","","","",""
"","","U2","RP2040","Eclectronics:RP2040","","","","","","",""
"","","U3","NCV8718BMT330TBG","NCV8718BMT330TBG:NCV8718BMT330TBG","SON65P200X200X80-7N","","ON Semiconductor","0.8mm","","4","IPC 7351B"
"","","U4","BQ25172DSGR","BQ25172:BQ25172DSGR","WSON8_DSG008A_BQ_TEX","","","","","",""
"","","U5","74LVC1G3157FZ4-7","74LVC1G3157FZ4-7:74LVC1G3157FZ4-7","PSON50P140X100X40-6N","","Diodes Inc.","","","",""
"","","U6","NRF24L01","RF:NRF24L01","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf","","","","",""
"","","U7","TPS61291DRVT","TPS61291DRVT:TPS61291DRVT","SON65P200X200X80-7N","","","","","",""
"","","U8","EADOGS104NA","EADOGS104NA:EADOGS104NA","","","","","","",""
"","","Y1","12MHz","Eclectronics:Crystal","","","","","","",""
"","","Y2","16MHz","Device:Crystal","","~","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","PARTREV","STANDARD"
"1","1","AE1","Antenna_Loop","Device:Antenna_Loop","","~","","","","",""
"2","2","BT1, BT2","1.2V","Device:Battery_Cell","","~","","","","",""
"3","11","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11","0.1uF","Device:C","","~","","","","",""
"4","4","C12, C13, C19, C20","1uF","Device:C","","~","","","","",""
"5","3","C14, C22, C26","10uF","Device:C","","~","","","","",""
"6","1","C15","33uF","Device:C","","~","","","","",""
"7","1","C16","22uF","Device:C","","~","","","","",""
"8","1","C17","10nF","Device:C","","~","","","","",""
"9","1","C18","1nF","Device:C","","~","","","","",""
"10","1","C21","2.2nF","Device:C","","~","","","","",""
"11","1","C23","4.7pF","Device:C","","~","","","","",""
"12","1","C24","1.5pF","Device:C","","~","","","","",""
"13","1","C25","1pF","Device:C","","~","","","","",""
"14","2","C27, C28","22pF","Device:C","","~","","","","",""
"15","2","D1, D2","D","Device:D","","~","","","","",""
"16","1","D3","LED","Device:LED","","~","","","","",""
"17","1","J1","USB4155-03-C_REVA","USB4155-03-C_REVA:USB4155-03-C_REVA","GCT_USB4155-03-C_REVA","","GCT","2.9 mm","","A","Manufacturer Recommendations"
"18","1","L1","2.7nH","Device:L","","~","","","","",""
"19","1","L2","3.9nH","Device:L","","~","","","","",""
"20","1","L3","8.2nH","Device:L","","~","","","","",""
"21","1","L4","3.3uH","Device:L","","~","","","","",""
"22","1","M1","C0720B001F","C0720B001F:C0720B001F","XDCR_C0720B001F","","","","Jinlong Machinery","",""
"23","1","Q1","PMCXB900UEZ","PMCXB900UEZ:PMCXB900UEZ","SOT1216_PMCXB_NEX","","","","","",""
"24","4","R1, R2, R3, R4","5.1K","Device:R","","~","","","","",""
"25","2","R5, R6","27","Device:R","","~","","","","",""
"26","1","R7","3K","Device:R","","~","","","","",""
"27","1","R8","22K","Device:R","","~","","","","",""
"28","1","R9","90","Device:R","","~","","","","",""
"29","1","R10","27K","Device:R","","~","","","","",""
"30","1","R11","36K","Device:R","","~","","","","",""
"31","1","R12","1M","Device:R","","~","","","","",""
"32","1","S1","RST","Eclectronics:SW","","","","","","",""
"33","1","S2","BOOT","Eclectronics:SW","","","","","","",""
"34","1","SW1","CUS-12TB","ul_cus-12tb:CUS-12TB","CUS-12TB_NDC","","","","","",""
"35","1","TH1","Thermistor","Device:Thermistor","","~","","","","",""
